dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,6575.00,6951577.00,75,Nouvelle-Aquitaine,Z,Non connu
Aide CPSTI,705.00,638921.00,76,Occitanie,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,37.00,36598.00,76,Occitanie,B,Industries extractives
Aide CPSTI,9941.00,7719162.00,76,Occitanie,C,Industrie manufacturière
Aide CPSTI,156.00,135853.00,76,Occitanie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,245.00,185908.00,76,Occitanie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,28536.00,25397035.00,76,Occitanie,F,Construction
Aide CPSTI,26621.00,21092298.00,76,Occitanie,G,Commerce
Aide CPSTI,2940.00,2791601.00,76,Occitanie,H,Transports et entreposage
Aide CPSTI,10767.00,8549888.00,76,Occitanie,I,Hébergement et restauration
Aide CPSTI,1468.00,1049576.00,76,Occitanie,J,Information et communication
Aide CPSTI,1037.00,1002017.00,76,Occitanie,K,Activités financières et d'assurance
Aide CPSTI,4276.00,3922150.00,76,Occitanie,L,Activités immobilières
Aide CPSTI,3137.00,2195875.00,76,Occitanie,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,4902.00,3127684.00,76,Occitanie,N,Activités de services administratifs et de soutien
Aide CPSTI,912.00,700107.00,76,Occitanie,P,Enseignement
Aide CPSTI,1244.00,842041.00,76,Occitanie,Q,Santé humaine et action sociale
Aide CPSTI,1501.00,848572.00,76,Occitanie,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,12641.00,8419360.00,76,Occitanie,S,Autres activités de services
Aide CPSTI,6243.00,6456093.00,76,Occitanie,Z,Non connu
Aide CPSTI,281.00,284297.00,52,Pays de la Loire,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,3.00,3750.00,52,Pays de la Loire,B,Industries extractives
Aide CPSTI,6557.00,5812914.00,52,Pays de la Loire,C,Industrie manufacturière
Aide CPSTI,64.00,58532.00,52,Pays de la Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,236.00,164831.00,52,Pays de la Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,14726.00,15200028.00,52,Pays de la Loire,F,Construction
Aide CPSTI,14055.00,12448135.00,52,Pays de la Loire,G,Commerce
Aide CPSTI,1774.00,1804836.00,52,Pays de la Loire,H,Transports et entreposage
Aide CPSTI,6381.00,5889756.00,52,Pays de la Loire,I,Hébergement et restauration
Aide CPSTI,910.00,725873.00,52,Pays de la Loire,J,Information et communication
Aide CPSTI,757.00,744488.00,52,Pays de la Loire,K,Activités financières et d'assurance
Aide CPSTI,2704.00,2657350.00,52,Pays de la Loire,L,Activités immobilières
Aide CPSTI,1943.00,1524172.00,52,Pays de la Loire,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,2085.00,1574765.00,52,Pays de la Loire,N,Activités de services administratifs et de soutien
Aide CPSTI,584.00,541514.00,52,Pays de la Loire,P,Enseignement
Aide CPSTI,907.00,644546.00,52,Pays de la Loire,Q,Santé humaine et action sociale
Aide CPSTI,904.00,558960.00,52,Pays de la Loire,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,7106.00,5813195.00,52,Pays de la Loire,S,Autres activités de services
Aide CPSTI,5568.00,6156436.00,52,Pays de la Loire,Z,Non connu
Aide CPSTI,348.00,309021.00,93,Provence-Alpes-Côte d'Azur,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,9.00,9500.00,93,Provence-Alpes-Côte d'Azur,B,Industries extractives
Aide CPSTI,8510.00,6497983.00,93,Provence-Alpes-Côte d'Azur,C,Industrie manufacturière
Aide CPSTI,40.00,39706.00,93,Provence-Alpes-Côte d'Azur,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,167.00,125630.00,93,Provence-Alpes-Côte d'Azur,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,25014.00,21881589.00,93,Provence-Alpes-Côte d'Azur,F,Construction
Aide CPSTI,25561.00,19729267.00,93,Provence-Alpes-Côte d'Azur,G,Commerce
Aide CPSTI,4007.00,3612666.00,93,Provence-Alpes-Côte d'Azur,H,Transports et entreposage
Aide CPSTI,9781.00,8166078.00,93,Provence-Alpes-Côte d'Azur,I,Hébergement et restauration
Aide CPSTI,1524.00,1100700.00,93,Provence-Alpes-Côte d'Azur,J,Information et communication
Aide CPSTI,925.00,916842.00,93,Provence-Alpes-Côte d'Azur,K,Activités financières et d'assurance
Aide CPSTI,4576.00,4189906.00,93,Provence-Alpes-Côte d'Azur,L,Activités immobilières
