dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,157.00,34058915.00,06,Mayotte,G,Commerce,2021-07-23
Prêts garantis par l'Etat,40.00,9249300.00,06,Mayotte,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,26.00,2303872.00,06,Mayotte,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,7.00,643654.00,06,Mayotte,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,3.00,256000.00,06,Mayotte,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,41.00,2887424.00,06,Mayotte,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,35.00,4458514.00,06,Mayotte,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,18.00,1207500.00,06,Mayotte,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,27.00,1742994.00,06,Mayotte,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,8.00,347400.00,06,Mayotte,R,"Arts, spectacles et activités récréatives",2021-07-23
Prêts garantis par l'Etat,16.00,853944.00,06,Mayotte,S,Autres activités de services,2021-07-23
Prêts garantis par l'Etat,14.00,2111189.00,06,Mayotte,Z,Non connu,2021-07-23
Prêts garantis par l'Etat,1152.00,68649825.00,28,Normandie,A,"Agriculture, sylviculture et pêche",2021-07-23
Prêts garantis par l'Etat,3.00,1854000.00,28,Normandie,B,Industries extractives,2021-07-23
Prêts garantis par l'Etat,1882.00,678656954.00,28,Normandie,C,Industrie manufacturière,2021-07-23
Prêts garantis par l'Etat,59.00,36272100.00,28,Normandie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2021-07-23
Prêts garantis par l'Etat,3194.00,389616777.00,28,Normandie,F,Construction,2021-07-23
Prêts garantis par l'Etat,5646.00,890327135.00,28,Normandie,G,Commerce,2021-07-23
Prêts garantis par l'Etat,643.00,176357932.00,28,Normandie,H,Transports et entreposage,2021-07-23
Prêts garantis par l'Etat,3963.00,273141225.00,28,Normandie,I,Hébergement et restauration,2021-07-23
Prêts garantis par l'Etat,343.00,46250428.00,28,Normandie,J,Information et communication,2021-07-23
Prêts garantis par l'Etat,391.00,348248277.00,28,Normandie,K,Activités financières et d'assurance,2021-07-23
Prêts garantis par l'Etat,484.00,37773083.00,28,Normandie,L,Activités immobilières,2021-07-23
Prêts garantis par l'Etat,1623.00,208006588.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques",2021-07-23
Prêts garantis par l'Etat,714.00,85835420.00,28,Normandie,N,Activités de services administratifs et de soutien,2021-07-23
Prêts garantis par l'Etat,499.00,48420177.00,28,Normandie,P,Enseignement,2021-07-23
Prêts garantis par l'Etat,1429.00,95449894.00,28,Normandie,Q,Santé humaine et action sociale,2021-07-23
Prêts garantis par l'Etat,611.00,57067986.00,28,Normandie,R,"Arts, spectacles et activités récréatives",2021-07-23
