dispositif,nombre_beneficiaires,montant_total,reg,libelle_region,code_section,libelle_section
Aide CPSTI,12326.00,11754228.00,28,Normandie,F,Construction
Aide CPSTI,13735.00,11156406.00,28,Normandie,G,Commerce
Aide CPSTI,1657.00,1689368.00,28,Normandie,H,Transports et entreposage
Aide CPSTI,5908.00,5230611.00,28,Normandie,I,Hébergement et restauration
Aide CPSTI,564.00,405345.00,28,Normandie,J,Information et communication
Aide CPSTI,499.00,464822.00,28,Normandie,K,Activités financières et d'assurance
Aide CPSTI,1582.00,1512540.00,28,Normandie,L,Activités immobilières
Aide CPSTI,1544.00,1099214.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques"
Aide CPSTI,1767.00,1057457.00,28,Normandie,N,Activités de services administratifs et de soutien
Aide CPSTI,504.00,423201.00,28,Normandie,P,Enseignement
Aide CPSTI,530.00,371029.00,28,Normandie,Q,Santé humaine et action sociale
Aide CPSTI,840.00,438913.00,28,Normandie,R,"Arts, spectacles et activités récréatives"
Aide CPSTI,6973.00,4698189.00,28,Normandie,S,Autres activités de services
Aide CPSTI,2241.00,2396748.00,28,Normandie,Z,Non connu
Aide CPSTI,778.00,712724.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche"
Aide CPSTI,23.00,27204.00,75,Nouvelle-Aquitaine,B,Industries extractives
Aide CPSTI,11380.00,9051822.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière
Aide CPSTI,120.00,101459.00,75,Nouvelle-Aquitaine,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Aide CPSTI,319.00,221866.00,75,Nouvelle-Aquitaine,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Aide CPSTI,30050.00,28139441.00,75,Nouvelle-Aquitaine,F,Construction
Aide CPSTI,27603.00,22353948.00,75,Nouvelle-Aquitaine,G,Commerce
Aide CPSTI,3375.00,3283635.00,75,Nouvelle-Aquitaine,H,Transports et entreposage
Aide CPSTI,11746.00,9609568.00,75,Nouvelle-Aquitaine,I,Hébergement et restauration
Aide CPSTI,1279.00,875704.00,75,Nouvelle-Aquitaine,J,Information et communication
Aide CPSTI,1046.00,996412.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance
Aide CPSTI,4528.00,4245710.00,75,Nouvelle-Aquitaine,L,Activités immobilières
