dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Prêts garantis par l'Etat,7.00,2281959.00,02,Martinique,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-04
Prêts garantis par l'Etat,11.00,5172000.00,02,Martinique,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,288.00,36055699.00,02,Martinique,F,Construction,2020-09-04
Prêts garantis par l'Etat,786.00,284712707.00,02,Martinique,G,Commerce,2020-09-04
Prêts garantis par l'Etat,154.00,34952122.00,02,Martinique,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,290.00,27163619.00,02,Martinique,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,58.00,7038912.00,02,Martinique,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,69.00,159657727.00,02,Martinique,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,36.00,2383441.00,02,Martinique,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,256.00,34749580.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,180.00,27343072.00,02,Martinique,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,51.00,2318327.00,02,Martinique,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,238.00,15732409.00,02,Martinique,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,45.00,5267412.00,02,Martinique,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,146.00,6430536.00,02,Martinique,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,8.00,867000.00,02,Martinique,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,6.00,609000.00,06,Mayotte,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,36.00,9288974.00,06,Mayotte,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,4.00,774714.00,06,Mayotte,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,78.00,10796903.00,06,Mayotte,F,Construction,2020-09-04
Prêts garantis par l'Etat,133.00,32025198.00,06,Mayotte,G,Commerce,2020-09-04
Prêts garantis par l'Etat,32.00,6367424.00,06,Mayotte,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,19.00,2071272.00,06,Mayotte,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,5.00,588654.00,06,Mayotte,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,3.00,256000.00,06,Mayotte,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,36.00,2582624.00,06,Mayotte,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,29.00,3791824.00,06,Mayotte,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,16.00,1035500.00,06,Mayotte,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,24.00,1565544.00,06,Mayotte,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,7.00,330400.00,06,Mayotte,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,13.00,806444.00,06,Mayotte,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,11.00,2007189.00,06,Mayotte,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,731.00,46522499.00,28,Normandie,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,1578.00,613913876.00,28,Normandie,C,Industrie manufacturière,2020-09-04
Prêts garantis par l'Etat,14.00,21506000.00,28,Normandie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-04
Prêts garantis par l'Etat,2729.00,334548600.00,28,Normandie,F,Construction,2020-09-04
Prêts garantis par l'Etat,5019.00,831559675.00,28,Normandie,G,Commerce,2020-09-04
Prêts garantis par l'Etat,517.00,163399224.00,28,Normandie,H,Transports et entreposage,2020-09-04
Prêts garantis par l'Etat,3429.00,219270164.00,28,Normandie,I,Hébergement et restauration,2020-09-04
Prêts garantis par l'Etat,270.00,36147222.00,28,Normandie,J,Information et communication,2020-09-04
Prêts garantis par l'Etat,327.00,280975394.00,28,Normandie,K,Activités financières et d'assurance,2020-09-04
Prêts garantis par l'Etat,411.00,30285501.00,28,Normandie,L,Activités immobilières,2020-09-04
Prêts garantis par l'Etat,1354.00,174064867.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques",2020-09-04
Prêts garantis par l'Etat,580.00,66357554.00,28,Normandie,N,Activités de services administratifs et de soutien,2020-09-04
Prêts garantis par l'Etat,420.00,34796851.00,28,Normandie,P,Enseignement,2020-09-04
Prêts garantis par l'Etat,1214.00,83655216.00,28,Normandie,Q,Santé humaine et action sociale,2020-09-04
Prêts garantis par l'Etat,467.00,46096802.00,28,Normandie,R,"Arts, spectacles et activités récréatives",2020-09-04
Prêts garantis par l'Etat,1471.00,33351085.00,28,Normandie,S,Autres activités de services,2020-09-04
Prêts garantis par l'Etat,158.00,18772845.00,28,Normandie,Z,Non connu,2020-09-04
Prêts garantis par l'Etat,3921.00,348909048.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche",2020-09-04
Prêts garantis par l'Etat,12.00,7221000.00,75,Nouvelle-Aquitaine,B,Industries extractives,2020-09-04
Prêts garantis par l'Etat,4255.00,1341222612.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière,2020-09-04
