dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,4321,1226,5667368.00,04,La Réunion,P,Enseignement
Fonds de solidarité,VOLET1,5415,2453,7647165.00,04,La Réunion,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,4259,861,6778381.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,5647,1950,7289091.00,04,La Réunion,S,Autres activités de services
Fonds de solidarité,VOLET1,2551,729,3505293.00,02,Martinique,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,2730,811,4299339.00,02,Martinique,C,Industrie manufacturière
Fonds de solidarité,VOLET1,5,3,6700.00,02,Martinique,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,26,14,37627.00,02,Martinique,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,3629,1355,5675148.00,02,Martinique,F,Construction
Fonds de solidarité,VOLET1,7641,2148,14447223.00,02,Martinique,G,Commerce
Fonds de solidarité,VOLET1,2925,695,5018143.00,02,Martinique,H,Transports et entreposage
Fonds de solidarité,VOLET1,5872,1204,12347149.00,02,Martinique,I,Hébergement et restauration
Fonds de solidarité,VOLET1,840,226,1338454.00,02,Martinique,J,Information et communication
Fonds de solidarité,VOLET1,292,93,502706.00,02,Martinique,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,958,280,1619044.00,02,Martinique,L,Activités immobilières
Fonds de solidarité,VOLET1,3437,1072,5771522.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3824,907,6656511.00,02,Martinique,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,1914,469,2848306.00,02,Martinique,P,Enseignement
Fonds de solidarité,VOLET1,2120,925,3026020.00,02,Martinique,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,1922,364,3559583.00,02,Martinique,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,4006,1037,6443484.00,02,Martinique,S,Autres activités de services
Fonds de solidarité,VOLET1,6641,1066,15712280.00,06,Mayotte,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,1182,198,2835272.00,06,Mayotte,C,Industrie manufacturière
Fonds de solidarité,VOLET1,57,9,152562.00,06,Mayotte,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,3898,659,10059202.00,06,Mayotte,F,Construction
Fonds de solidarité,VOLET1,17804,2741,43830947.00,06,Mayotte,G,Commerce
Fonds de solidarité,VOLET1,3481,516,9102122.00,06,Mayotte,H,Transports et entreposage
Fonds de solidarité,VOLET1,1946,301,4696664.00,06,Mayotte,I,Hébergement et restauration
Fonds de solidarité,VOLET1,212,41,430196.00,06,Mayotte,J,Information et communication
Fonds de solidarité,VOLET1,56,11,133514.00,06,Mayotte,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,22,6,42424.00,06,Mayotte,L,Activités immobilières
Fonds de solidarité,VOLET1,606,125,1311489.00,06,Mayotte,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,697,116,1774654.00,06,Mayotte,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,439,73,1062524.00,06,Mayotte,P,Enseignement
Fonds de solidarité,VOLET1,306,90,634187.00,06,Mayotte,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,332,57,856754.00,06,Mayotte,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,603,110,1387326.00,06,Mayotte,S,Autres activités de services
Fonds de solidarité,VOLET1,4064,1648,6709522.00,28,Normandie,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,4,4,6000.00,28,Normandie,B,Industries extractives
Fonds de solidarité,VOLET1,7693,2859,11454662.00,28,Normandie,C,Industrie manufacturière
Fonds de solidarité,VOLET1,15,6,18199.00,28,Normandie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,368,150,488380.00,28,Normandie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,17642,8171,26490519.00,28,Normandie,F,Construction
Fonds de solidarité,VOLET1,38735,12824,76876694.00,28,Normandie,G,Commerce
Fonds de solidarité,VOLET1,7514,2031,13484305.00,28,Normandie,H,Transports et entreposage
Fonds de solidarité,VOLET1,37291,8730,106253232.00,28,Normandie,I,Hébergement et restauration
Fonds de solidarité,VOLET1,3232,995,5246802.00,28,Normandie,J,Information et communication
Fonds de solidarité,VOLET1,1682,586,2761389.00,28,Normandie,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,5452,1872,9487301.00,28,Normandie,L,Activités immobilières
Fonds de solidarité,VOLET1,16700,5542,30642793.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,7909,2454,13700011.00,28,Normandie,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,9645,2576,15003145.00,28,Normandie,P,Enseignement
Fonds de solidarité,VOLET1,11760,5370,15473472.00,28,Normandie,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,14967,3310,26183172.00,28,Normandie,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,28622,8516,49368726.00,28,Normandie,S,Autres activités de services
Fonds de solidarité,VOLET1,16248,6725,28061250.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,78,30,118856.00,75,Nouvelle-Aquitaine,B,Industries extractives
Fonds de solidarité,VOLET1,23402,8398,33517968.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière
Fonds de solidarité,VOLET1,78,28,122671.00,75,Nouvelle-Aquitaine,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,1192,420,1731590.00,75,Nouvelle-Aquitaine,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,50840,23337,76362604.00,75,Nouvelle-Aquitaine,F,Construction
Fonds de solidarité,VOLET1,93189,30508,184131049.00,75,Nouvelle-Aquitaine,G,Commerce
Fonds de solidarité,VOLET1,19296,4824,35711655.00,75,Nouvelle-Aquitaine,H,Transports et entreposage
Fonds de solidarité,VOLET1,81272,18827,218747800.00,75,Nouvelle-Aquitaine,I,Hébergement et restauration
Fonds de solidarité,VOLET1,9008,2758,14954151.00,75,Nouvelle-Aquitaine,J,Information et communication
Fonds de solidarité,VOLET1,3885,1419,6095968.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,15441,5477,25741089.00,75,Nouvelle-Aquitaine,L,Activités immobilières
Fonds de solidarité,VOLET1,47320,16038,82674463.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,24207,7676,40617362.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,14,5,30294.00,75,Nouvelle-Aquitaine,O,Administration publique
Fonds de solidarité,VOLET1,28314,7428,40616111.00,75,Nouvelle-Aquitaine,P,Enseignement
