dispositif,volet,nombre_aides,nombre_entreprises,montant_total,reg,libelle_region,code_section,libelle_section
Fonds de solidarité,VOLET1,409219,59841,869335748.00,11,Île-de-France,H,Transports et entreposage
Fonds de solidarité,VOLET1,225273,36732,1302636516.00,11,Île-de-France,I,Hébergement et restauration
Fonds de solidarité,VOLET1,79278,19187,200238766.00,11,Île-de-France,J,Information et communication
Fonds de solidarité,VOLET1,15749,4152,34239792.00,11,Île-de-France,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,39220,11126,86858128.00,11,Île-de-France,L,Activités immobilières
Fonds de solidarité,VOLET1,256660,67153,533304397.00,11,Île-de-France,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,83732,17167,279689616.00,11,Île-de-France,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,16,5,20735.00,11,Île-de-France,O,Administration publique
Fonds de solidarité,VOLET1,71981,16128,116396427.00,11,Île-de-France,P,Enseignement
Fonds de solidarité,VOLET1,69326,28639,94006037.00,11,Île-de-France,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,157435,27981,390559399.00,11,Île-de-France,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,107348,28286,215044037.00,11,Île-de-France,S,Autres activités de services
Fonds de solidarité,VOLET1,6498,1748,9096236.00,04,La Réunion,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,5126,1627,7621375.00,04,La Réunion,C,Industrie manufacturière
Fonds de solidarité,VOLET1,10,4,14213.00,04,La Réunion,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,90,35,141773.00,04,La Réunion,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,8304,3213,12373246.00,04,La Réunion,F,Construction
Fonds de solidarité,VOLET1,16825,5081,25005627.00,04,La Réunion,G,Commerce
Fonds de solidarité,VOLET1,2556,772,4237967.00,04,La Réunion,H,Transports et entreposage
Fonds de solidarité,VOLET1,12459,2421,23820604.00,04,La Réunion,I,Hébergement et restauration
Fonds de solidarité,VOLET1,1470,391,2847538.00,04,La Réunion,J,Information et communication
Fonds de solidarité,VOLET1,488,160,760654.00,04,La Réunion,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,2017,623,3006922.00,04,La Réunion,L,Activités immobilières
Fonds de solidarité,VOLET1,5647,1780,9038568.00,04,La Réunion,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,3940,1016,10170664.00,04,La Réunion,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,4645,1235,6221954.00,04,La Réunion,P,Enseignement
Fonds de solidarité,VOLET1,5536,2462,7819321.00,04,La Réunion,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,4873,873,9117944.00,04,La Réunion,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,5995,1958,7876766.00,04,La Réunion,S,Autres activités de services
Fonds de solidarité,VOLET1,2916,764,4034293.00,02,Martinique,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,2946,816,4906917.00,02,Martinique,C,Industrie manufacturière
Fonds de solidarité,VOLET1,5,3,6700.00,02,Martinique,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Fonds de solidarité,VOLET1,26,14,37627.00,02,Martinique,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,3865,1362,6181453.00,02,Martinique,F,Construction
Fonds de solidarité,VOLET1,8366,2185,16147470.00,02,Martinique,G,Commerce
Fonds de solidarité,VOLET1,3243,709,6506677.00,02,Martinique,H,Transports et entreposage
Fonds de solidarité,VOLET1,6557,1232,16991996.00,02,Martinique,I,Hébergement et restauration
Fonds de solidarité,VOLET1,951,228,1763694.00,02,Martinique,J,Information et communication
Fonds de solidarité,VOLET1,338,95,637751.00,02,Martinique,K,Activités financières et d'assurance
Fonds de solidarité,VOLET1,1070,289,1950338.00,02,Martinique,L,Activités immobilières
Fonds de solidarité,VOLET1,3789,1084,6762086.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques"
Fonds de solidarité,VOLET1,4205,916,8556009.00,02,Martinique,N,Activités de services administratifs et de soutien
Fonds de solidarité,VOLET1,2073,477,3133985.00,02,Martinique,P,Enseignement
Fonds de solidarité,VOLET1,2196,931,3139878.00,02,Martinique,Q,Santé humaine et action sociale
Fonds de solidarité,VOLET1,2131,370,4405968.00,02,Martinique,R,"Arts, spectacles et activités récréatives"
Fonds de solidarité,VOLET1,4373,1050,7179887.00,02,Martinique,S,Autres activités de services
Fonds de solidarité,VOLET1,7749,1083,17801661.00,06,Mayotte,A,"Agriculture, sylviculture et pêche"
Fonds de solidarité,VOLET1,1305,202,3243569.00,06,Mayotte,C,Industrie manufacturière
Fonds de solidarité,VOLET1,65,10,164562.00,06,Mayotte,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Fonds de solidarité,VOLET1,4343,676,11031999.00,06,Mayotte,F,Construction
Fonds de solidarité,VOLET1,19571,2777,47651637.00,06,Mayotte,G,Commerce
Fonds de solidarité,VOLET1,3837,519,10040988.00,06,Mayotte,H,Transports et entreposage
Fonds de solidarité,VOLET1,2111,309,5526419.00,06,Mayotte,I,Hébergement et restauration
Fonds de solidarité,VOLET1,228,41,479396.00,06,Mayotte,J,Information et communication
Fonds de solidarité,VOLET1,65,11,155514.00,06,Mayotte,K,Activités financières et d'assurance
