dispositif,nombre_pge,montant_total,reg,libelle_region,code_section,libelle_section
Prêts garantis par l'Etat,681.00,40475458.00,75,Nouvelle-Aquitaine,P,Enseignement
Prêts garantis par l'Etat,2958.00,169758579.00,75,Nouvelle-Aquitaine,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,713.00,50231383.00,75,Nouvelle-Aquitaine,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,3077.00,79946061.00,75,Nouvelle-Aquitaine,S,Autres activités de services
Prêts garantis par l'Etat,249.00,62045169.00,75,Nouvelle-Aquitaine,Z,Non connu
Prêts garantis par l'Etat,1292.00,100994142.00,76,Occitanie,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,15.00,2117082.00,76,Occitanie,B,Industries extractives
Prêts garantis par l'Etat,2651.00,796295849.00,76,Occitanie,C,Industrie manufacturière
Prêts garantis par l'Etat,14.00,1117300.00,76,Occitanie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,68.00,23650675.00,76,Occitanie,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,5378.00,611217279.00,76,Occitanie,F,Construction
Prêts garantis par l'Etat,10238.00,1653053138.00,76,Occitanie,G,Commerce
Prêts garantis par l'Etat,823.00,121858815.00,76,Occitanie,H,Transports et entreposage
Prêts garantis par l'Etat,6554.00,471811478.00,76,Occitanie,I,Hébergement et restauration
Prêts garantis par l'Etat,606.00,137100806.00,76,Occitanie,J,Information et communication
Prêts garantis par l'Etat,591.00,173522030.00,76,Occitanie,K,Activités financières et d'assurance
Prêts garantis par l'Etat,960.00,86612865.00,76,Occitanie,L,Activités immobilières
Prêts garantis par l'Etat,3123.00,426731609.00,76,Occitanie,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,1181.00,175408444.00,76,Occitanie,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,656.00,32841623.00,76,Occitanie,P,Enseignement
Prêts garantis par l'Etat,2986.00,194503530.00,76,Occitanie,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,674.00,65805217.00,76,Occitanie,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,2704.00,70394364.00,76,Occitanie,S,Autres activités de services
Prêts garantis par l'Etat,291.00,28081020.00,76,Occitanie,Z,Non connu
Prêts garantis par l'Etat,459.00,47979742.00,52,Pays de la Loire,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,4.00,1674000.00,52,Pays de la Loire,B,Industries extractives
Prêts garantis par l'Etat,1347.00,546313704.00,52,Pays de la Loire,C,Industrie manufacturière
Prêts garantis par l'Etat,30.00,6509800.00,52,Pays de la Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,2184.00,273630803.00,52,Pays de la Loire,F,Construction
Prêts garantis par l'Etat,3985.00,635186724.00,52,Pays de la Loire,G,Commerce
Prêts garantis par l'Etat,258.00,47819037.00,52,Pays de la Loire,H,Transports et entreposage
Prêts garantis par l'Etat,2638.00,174594814.00,52,Pays de la Loire,I,Hébergement et restauration
Prêts garantis par l'Etat,263.00,68484917.00,52,Pays de la Loire,J,Information et communication
Prêts garantis par l'Etat,217.00,116156268.00,52,Pays de la Loire,K,Activités financières et d'assurance
Prêts garantis par l'Etat,285.00,23117573.00,52,Pays de la Loire,L,Activités immobilières
Prêts garantis par l'Etat,1188.00,206918190.00,52,Pays de la Loire,M,"Activités spécialisées, scientifiques et techniques"
Prêts garantis par l'Etat,471.00,60311332.00,52,Pays de la Loire,N,Activités de services administratifs et de soutien
Prêts garantis par l'Etat,314.00,19256252.00,52,Pays de la Loire,P,Enseignement
Prêts garantis par l'Etat,1243.00,79432239.00,52,Pays de la Loire,Q,Santé humaine et action sociale
Prêts garantis par l'Etat,339.00,42483199.00,52,Pays de la Loire,R,"Arts, spectacles et activités récréatives"
Prêts garantis par l'Etat,1370.00,35586757.00,52,Pays de la Loire,S,Autres activités de services
Prêts garantis par l'Etat,114.00,14042258.00,52,Pays de la Loire,Z,Non connu
Prêts garantis par l'Etat,742.00,75254158.00,93,Provence-Alpes-Côte d'Azur,A,"Agriculture, sylviculture et pêche"
Prêts garantis par l'Etat,2574.00,541243150.00,93,Provence-Alpes-Côte d'Azur,C,Industrie manufacturière
Prêts garantis par l'Etat,4.00,2358200.00,93,Provence-Alpes-Côte d'Azur,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné"
Prêts garantis par l'Etat,47.00,11525250.00,93,Provence-Alpes-Côte d'Azur,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution"
Prêts garantis par l'Etat,5287.00,601039788.00,93,Provence-Alpes-Côte d'Azur,F,Construction
Prêts garantis par l'Etat,10736.00,1754367484.00,93,Provence-Alpes-Côte d'Azur,G,Commerce
