dispositif,nombre_reports,montant_total,reg,libelle_region,code_section,libelle_section,date_maj
Reports d'échéances fiscales,12.00,104984.00,02,Martinique,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,6.00,310517.00,02,Martinique,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,7.00,358224.00,02,Martinique,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,4.00,242076.00,02,Martinique,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,14.00,135169.00,02,Martinique,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,7.00,397050.00,02,Martinique,Z,Non connu,2020-09-03
Reports d'échéances fiscales,10.00,129707.00,06,Mayotte,G,Commerce,2020-09-03
Reports d'échéances fiscales,3.00,16009.00,06,Mayotte,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,3.00,32875.00,06,Mayotte,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,6.00,56640.00,06,Mayotte,Z,Non connu,2020-09-03
Reports d'échéances fiscales,15.00,229308.00,28,Normandie,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,258.00,16340397.00,28,Normandie,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,295.00,6843278.00,28,Normandie,F,Construction,2020-09-03
Reports d'échéances fiscales,672.00,16909922.00,28,Normandie,G,Commerce,2020-09-03
Reports d'échéances fiscales,116.00,4298335.00,28,Normandie,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,385.00,3576588.00,28,Normandie,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,34.00,419479.00,28,Normandie,J,Information et communication,2020-09-03
Reports d'échéances fiscales,111.00,2449453.00,28,Normandie,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,225.00,2602407.00,28,Normandie,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,270.00,4420569.00,28,Normandie,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,89.00,5324565.00,28,Normandie,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,36.00,424290.00,28,Normandie,P,Enseignement,2020-09-03
Reports d'échéances fiscales,120.00,2143107.00,28,Normandie,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,63.00,1744602.00,28,Normandie,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,70.00,227016.00,28,Normandie,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,26.00,624912.00,28,Normandie,Z,Non connu,2020-09-03
Reports d'échéances fiscales,122.00,5963925.00,75,Nouvelle-Aquitaine,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,10.00,4277719.00,75,Nouvelle-Aquitaine,B,Industries extractives,2020-09-03
Reports d'échéances fiscales,619.00,41872383.00,75,Nouvelle-Aquitaine,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,9.00,67858.00,75,Nouvelle-Aquitaine,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-03
Reports d'échéances fiscales,13.00,288821.00,75,Nouvelle-Aquitaine,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,654.00,20150857.00,75,Nouvelle-Aquitaine,F,Construction,2020-09-03
Reports d'échéances fiscales,1553.00,42319003.00,75,Nouvelle-Aquitaine,G,Commerce,2020-09-03
Reports d'échéances fiscales,173.00,6657963.00,75,Nouvelle-Aquitaine,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,960.00,9157588.00,75,Nouvelle-Aquitaine,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,90.00,5886849.00,75,Nouvelle-Aquitaine,J,Information et communication,2020-09-03
Reports d'échéances fiscales,293.00,7406269.00,75,Nouvelle-Aquitaine,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,574.00,6238941.00,75,Nouvelle-Aquitaine,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,556.00,8955057.00,75,Nouvelle-Aquitaine,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,278.00,5831390.00,75,Nouvelle-Aquitaine,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,87.00,857787.00,75,Nouvelle-Aquitaine,P,Enseignement,2020-09-03
Reports d'échéances fiscales,224.00,12113469.00,75,Nouvelle-Aquitaine,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,98.00,1820924.00,75,Nouvelle-Aquitaine,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,205.00,832876.00,75,Nouvelle-Aquitaine,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,57.00,3575777.00,75,Nouvelle-Aquitaine,Z,Non connu,2020-09-03
Reports d'échéances fiscales,60.00,1072128.00,76,Occitanie,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,4.00,553419.00,76,Occitanie,B,Industries extractives,2020-09-03
Reports d'échéances fiscales,399.00,23381027.00,76,Occitanie,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,14.00,796304.00,76,Occitanie,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-03
Reports d'échéances fiscales,548.00,21721252.00,76,Occitanie,F,Construction,2020-09-03
Reports d'échéances fiscales,1288.00,36657353.00,76,Occitanie,G,Commerce,2020-09-03
Reports d'échéances fiscales,168.00,6884272.00,76,Occitanie,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,823.00,8668756.00,76,Occitanie,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,111.00,2626788.00,76,Occitanie,J,Information et communication,2020-09-03
Reports d'échéances fiscales,216.00,14870552.00,76,Occitanie,K,Activités financières et d'assurance,2020-09-03
Reports d'échéances fiscales,499.00,9709166.00,76,Occitanie,L,Activités immobilières,2020-09-03
Reports d'échéances fiscales,441.00,10269662.00,76,Occitanie,M,"Activités spécialisées, scientifiques et techniques",2020-09-03
Reports d'échéances fiscales,230.00,7017814.00,76,Occitanie,N,Activités de services administratifs et de soutien,2020-09-03
Reports d'échéances fiscales,58.00,311324.00,76,Occitanie,P,Enseignement,2020-09-03
Reports d'échéances fiscales,181.00,6378974.00,76,Occitanie,Q,Santé humaine et action sociale,2020-09-03
Reports d'échéances fiscales,104.00,3742385.00,76,Occitanie,R,"Arts, spectacles et activités récréatives",2020-09-03
Reports d'échéances fiscales,231.00,1326042.00,76,Occitanie,S,Autres activités de services,2020-09-03
Reports d'échéances fiscales,87.00,1099013.00,76,Occitanie,Z,Non connu,2020-09-03
Reports d'échéances fiscales,26.00,594579.00,52,Pays de la Loire,A,"Agriculture, sylviculture et pêche",2020-09-03
Reports d'échéances fiscales,4.00,179921.00,52,Pays de la Loire,B,Industries extractives,2020-09-03
Reports d'échéances fiscales,470.00,36685014.00,52,Pays de la Loire,C,Industrie manufacturière,2020-09-03
Reports d'échéances fiscales,3.00,39918.00,52,Pays de la Loire,D,"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné",2020-09-03
Reports d'échéances fiscales,3.00,68970.00,52,Pays de la Loire,E,"Production et distribution d'eau ; assainissement, gestion des déchets et dépollution",2020-09-03
Reports d'échéances fiscales,432.00,8112568.00,52,Pays de la Loire,F,Construction,2020-09-03
Reports d'échéances fiscales,898.00,31217262.00,52,Pays de la Loire,G,Commerce,2020-09-03
Reports d'échéances fiscales,129.00,3355452.00,52,Pays de la Loire,H,Transports et entreposage,2020-09-03
Reports d'échéances fiscales,554.00,5410121.00,52,Pays de la Loire,I,Hébergement et restauration,2020-09-03
Reports d'échéances fiscales,85.00,4140565.00,52,Pays de la Loire,J,Information et communication,2020-09-03
